entity_alias_readable	Decayed	Sweet	Woody	Medicinal	Sulfidic	Fruity	Smoky	Uncategorised	Floral	Citrus	Mint
845	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
846	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
847	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
848	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
849	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
850	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
851	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
852	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
853	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
854	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
855	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
856	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
857	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
858	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
859	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
860	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
861	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.02	0.26	0.13	0.18
862	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
863	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
864	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
865	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
867	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
868	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
869	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
870	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
871	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
872	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
873	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
874	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
875	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
876	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
878	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
879	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
880	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
881	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
882	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
883	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
884	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
885	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
886	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
887	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
889	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
890	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
891	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
893	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
894	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
895	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
896	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
897	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
898	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
899	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.27	0.13	0.18
900	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.27	0.13	0.18
901	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.27	0.13	0.18
902	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.27	0.13	0.18
904	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.27	0.13	0.18
905	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.27	0.13	0.18
906	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.27	0.13	0.18
907	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.27	0.13	0.18
908	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.27	0.13	0.18
909	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
911	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
912	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
913	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
914	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
915	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
916	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
917	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
918	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
919	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
920	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
921	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
923	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
924	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
925	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
926	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
927	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
928	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
929	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
930	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
931	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
932	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
933	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
934	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
935	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
936	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
937	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
938	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
939	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.26	0.13	0.18
941	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
942	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
943	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
944	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
945	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
947	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
948	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
949	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
950	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
951	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
952	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
953	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
954	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
955	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
956	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
958	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
959	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
960	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
961	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
962	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
963	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
964	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
965	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
967	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.26	0.13	0.18
968	0.32	0.26	0.13	0.19	0.2	0.11	0.18	0.26	0.26	0.13	0.18
969	0.32	0.25	0.13	0.19	0.2	0.11	0.18	0.26	0.26	0.13	0.18
970	0.23	0.25	0.13	0.19	0.2	0.11	0.18	0.23	0.26	0.13	0.18
971	0.23	0.25	0.13	0.19	0.2	0.11	0.18	0.23	0.26	0.13	0.18
972	0.32	0.25	0.13	0.19	0.2	0.11	0.18	0.25	0.26	0.13	0.18
977	0.32	0.25	0.13	0.19	0.2	0.11	0.18	0.0	0.26	0.13	0.18
978	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.26	0.26	0.13	0.18
