entity_alias_readable	Decayed	Sweet	Woody	Medicinal	Sulfidic	Fruity	Smoky	Uncategorised	Floral	Citrus	Mint
348	0.39	0.36	0.29	0.5	0.92	0.18	0.34	0.37	0.3	0.17	0.2
349	0.29	0.25	0.18	0.19	0.34	0.13	0.22	0.28	0.28	0.16	0.18
350	0.52	0.54	0.58	0.52	0.35	0.29	0.39	0.51	0.56	0.55	0.83
351	0.32	0.28	0.19	0.23	0.32	0.14	0.23	0.35	0.3	0.17	0.18
352	0.32	0.25	0.16	0.23	0.35	0.12	0.2	0.31	0.28	0.14	0.18
353	0.45	0.35	0.3	0.44	0.62	0.2	0.35	0.43	0.35	0.26	0.31
354	0.35	0.3	0.19	0.25	0.35	0.16	0.28	0.35	0.31	0.19	0.18
355	0.32	0.26	0.17	0.21	0.39	0.12	0.2	0.27	0.27	0.19	0.19
356	0.35	0.36	0.23	0.35	0.35	0.16	0.31	0.36	0.34	0.22	0.29
357	0.39	0.26	0.17	0.25	0.28	0.13	0.24	0.3	0.28	0.14	0.18
358	0.32	0.26	0.13	0.19	0.24	0.11	0.19	0.26	0.27	0.13	0.18
359	0.42	0.38	0.26	0.29	0.42	0.15	0.36	0.36	0.32	0.22	0.2
360	0.35	0.27	0.17	0.27	0.28	0.12	0.22	0.3	0.29	0.16	0.18
361	0.23	0.25	0.14	0.19	0.27	0.11	0.18	0.25	0.26	0.13	0.18
362	0.68	0.51	0.43	0.75	0.41	0.25	0.41	0.49	0.46	0.43	0.44
363	0.68	0.07	0.04	0.02	0.01	0.05	0.04	0.03	0.05	0.04	0.1
364	0.52	0.66	0.61	0.75	0.63	0.45	0.66	0.74	0.67	0.49	0.35
365	0.32	0.26	0.13	0.19	0.2	0.11	0.19	0.24	0.26	0.13	0.18
366	0.35	0.28	0.19	0.23	0.23	0.13	0.31	0.39	0.36	0.2	0.18
367	0.42	0.26	0.14	0.19	0.24	0.11	0.22	0.27	0.26	0.13	0.18
368	0.35	0.43	0.49	0.5	0.32	0.2	0.37	0.49	0.51	0.59	0.38
369	0.35	0.3	0.27	0.37	0.23	0.14	0.22	0.32	0.31	0.35	0.24
370	0.32	0.27	0.15	0.21	0.2	0.12	0.22	0.27	0.3	0.16	0.18
371	0.45	0.45	0.35	0.44	0.39	0.19	0.48	0.44	0.35	0.2	0.19
372	0.39	0.25	0.14	0.19	0.2	0.12	0.21	0.26	0.26	0.16	0.18
373	0.68	0.59	0.53	0.48	0.69	0.34	0.83	0.67	0.5	0.48	0.27
374	0.16	0.18	0.18	0.23	0.27	0.1	0.35	0.2	0.08	0.13	0.01
375	0.26	0.39	0.44	0.46	0.21	0.19	0.25	0.35	0.37	0.46	0.43
376	0.26	0.05	0.14	0.1	0.21	0.0	0.01	0.04	0.04	0.14	0.1
377	0.23	0.25	0.13	0.19	0.18	0.12	0.18	0.24	0.26	0.13	0.18
378	0.23	0.32	0.22	0.27	0.18	0.12	0.2	0.28	0.32	0.32	0.39
379	0.23	0.28	0.16	0.19	0.18	0.12	0.26	0.29	0.33	0.2	0.18
380	0.32	0.35	0.3	0.29	0.38	0.25	0.33	0.42	0.42	0.3	0.36
381	0.23	0.39	0.36	0.44	0.23	0.14	0.25	0.35	0.39	0.49	0.61
382	0.32	0.26	0.13	0.19	0.2	0.11	0.19	0.25	0.26	0.13	0.18
383	0.06	0.03	0.0	0.06	0.03	0.02	0.02	0.03	0.02	0.13	0.01
384	0.13	0.15	0.12	0.21	0.11	0.08	0.15	0.09	0.23	0.14	0.08
385	0.13	0.03	0.09	0.1	0.01	0.02	0.01	0.04	0.04	0.23	0.12
386	0.45	0.14	0.11	0.08	0.11	0.12	0.28	0.18	0.2	0.12	0.04
387	0.32	0.27	0.15	0.25	0.25	0.12	0.19	0.3	0.29	0.16	0.18
388	0.45	0.33	0.19	0.23	0.27	0.18	0.25	0.31	0.33	0.2	0.18
389	0.45	0.33	0.0	0.23	0.27	0.18	0.25	0.31	0.33	0.2	0.18
390	0.06	0.13	0.11	0.1	0.01	0.05	0.17	0.15	0.2	0.17	0.04
391	0.32	0.32	0.25	0.21	0.21	0.16	0.3	0.38	0.4	0.25	0.26
392	0.32	0.07	0.1	0.21	0.21	0.02	0.01	0.04	0.03	0.16	0.21
393	0.32	0.05	0.03	0.02	0.21	0.03	0.03	0.03	0.11	0.07	0.21
394	0.35	0.29	0.21	0.37	0.18	0.13	0.24	0.32	0.32	0.3	0.24
395	0.42	0.35	0.22	0.35	0.24	0.16	0.27	0.31	0.27	0.26	0.24
396	0.42	0.3	0.26	0.29	0.3	0.17	0.35	0.39	0.41	0.23	0.21
397	0.06	0.06	0.12	0.29	0.01	0.06	0.12	0.15	0.14	0.28	0.07
398	0.23	0.26	0.13	0.19	0.18	0.12	0.22	0.24	0.28	0.13	0.18
399	0.29	0.04	0.04	0.06	0.07	0.02	0.03	0.03	0.03	0.06	0.06
400	0.29	0.04	0.04	0.06	0.07	0.02	0.02	0.0	0.03	0.06	0.06
401	0.29	0.01	0.02	0.06	0.07	0.01	0.02	0.02	0.01	0.01	0.06
402	0.19	0.06	0.06	0.17	0.15	0.04	0.12	0.05	0.02	0.04	0.01
403	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
404	0.1	0.07	0.11	0.1	0.04	0.04	0.16	0.12	0.05	0.13	0.06
405	0.1	0.1	0.15	0.29	0.08	0.08	0.09	0.12	0.06	0.19	0.1
408	0.23	0.26	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
409	0.32	0.25	0.16	0.19	0.24	0.12	0.2	0.25	0.27	0.14	0.18
410	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.26	0.13	0.18
411	0.35	0.27	0.14	0.19	0.18	0.12	0.2	0.27	0.26	0.2	0.19
412	0.42	0.28	0.17	0.19	0.23	0.13	0.21	0.28	0.28	0.13	0.18
413	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
414	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
415	0.48	0.31	0.29	0.38	0.3	0.19	0.28	0.35	0.32	0.3	0.25
416	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.25	0.26	0.13	0.18
417	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.26	0.26	0.13	0.18
418	0.23	0.27	0.23	0.33	0.18	0.12	0.18	0.28	0.3	0.3	0.21
419	0.03	0.03	0.03	0.13	0.18	0.12	0.01	0.01	0.02	0.3	0.21
421	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.26	0.26	0.13	0.18
422	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
423	0.26	0.32	0.25	0.23	0.3	0.13	0.31	0.36	0.36	0.29	0.26
424	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.26	0.13	0.18
425	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
426	0.32	0.32	0.3	0.42	0.18	0.15	0.21	0.3	0.3	0.32	0.43
427	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
428	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.26	0.13	0.18
429	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.26	0.26	0.13	0.18
430	0.32	0.25	0.13	0.21	0.21	0.11	0.19	0.26	0.26	0.13	0.18
431	0.23	0.25	0.14	0.21	0.18	0.11	0.18	0.24	0.26	0.13	0.2
432	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.26	0.13	0.18
433	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.25	0.26	0.13	0.18
434	0.23	0.25	0.13	0.21	0.18	0.11	0.18	0.23	0.26	0.13	0.18
435	0.23	0.25	0.14	0.19	0.18	0.11	0.19	0.24	0.27	0.13	0.18
436	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
437	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
438	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
439	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.26	0.26	0.13	0.18
440	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
441	0.42	0.3	0.17	0.25	0.25	0.14	0.19	0.29	0.3	0.14	0.18
442	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
443	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
444	0.23	0.3	0.29	0.42	0.18	0.12	0.2	0.3	0.29	0.35	0.42
445	0.23	0.33	0.38	0.44	0.18	0.13	0.25	0.33	0.36	0.46	0.44
446	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
447	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
448	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
449	0.32	0.26	0.13	0.19	0.18	0.11	0.18	0.25	0.26	0.13	0.18
450	0.23	0.27	0.17	0.21	0.18	0.12	0.18	0.26	0.35	0.28	0.24
451	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.27	0.13	0.19
452	0.32	0.27	0.16	0.23	0.2	0.12	0.22	0.31	0.35	0.2	0.18
453	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.26	0.13	0.18
454	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
