		Uncategorised	Meaty	 Nutty	Medicinal	Chocolate	Wood	Spice	Herbaceous	 Berry	Dairy	Green	Roasted	Petrol	Floral	Caramel	Sulphur	 Tree fruit	Tropical	Marine	Earthy	Fruit like	Melon	Sour	 Citrus	Phenol	Pungent	Toasted	Smoke	Savory
38	Port Wine	0.37	0.11	0.13	0.13	0.44	0.21	0.18	0.23	0.48	0.52	0.38	0.08	0.4	0.34	0.45	0.17	0.39	0.55	0.28	0.33	0.17	0.41	0.57	0.26	0.21	0.29	0.09	0.28	0.0
39	Red Wine	0.44	0.34	0.17	0.3	0.44	0.22	0.27	0.26	0.56	0.58	0.42	0.15	0.4	0.4	0.56	0.21	0.42	0.68	0.39	0.37	0.25	0.53	0.43	0.29	0.35	0.33	0.09	0.5	0.0
40	Rose Wine	0.34	0.13	0.13	0.16	0.33	0.2	0.18	0.23	0.45	0.48	0.37	0.1	0.4	0.34	0.43	0.21	0.3	0.54	0.28	0.31	0.17	0.35	0.43	0.26	0.26	0.29	0.09	0.28	0.0
41	Sake	0.11	0.03	0.02	0.16	0.07	0.0	0.0	0.0	0.07	0.16	0.06	0.05	0.2	0.04	0.08	0.09	0.03	0.11	0.0	0.07	0.08	0.35	0.29	0.0	0.0	0.07	0.0	0.0	0.0
42	Sherry	0.47	0.26	0.27	0.21	0.52	0.23	0.29	0.26	0.51	0.68	0.43	0.19	0.4	0.39	0.55	0.17	0.44	0.61	0.56	0.4	0.25	0.47	0.64	0.27	0.38	0.36	0.09	0.44	0.0
43	Sparkling Wine	0.38	0.11	0.13	0.13	0.37	0.21	0.18	0.21	0.51	0.48	0.38	0.08	0.4	0.36	0.46	0.17	0.42	0.55	0.28	0.34	0.17	0.47	0.43	0.28	0.18	0.29	0.09	0.28	0.0
44	Strawberry Wine	0.34	0.11	0.13	0.13	0.37	0.2	0.18	0.2	0.46	0.48	0.35	0.08	0.4	0.32	0.44	0.17	0.35	0.54	0.28	0.34	0.17	0.47	0.43	0.26	0.18	0.27	0.09	0.28	0.0
45	White Wine	0.59	0.26	0.21	0.34	0.52	0.33	0.43	0.36	0.77	0.61	0.63	0.11	0.4	0.52	0.66	0.25	0.58	0.87	0.39	0.53	0.33	0.65	0.57	0.44	0.5	0.51	0.09	0.44	0.0
46	Coffee	0.6	1.0	0.85	0.44	0.89	0.25	0.45	0.46	0.42	0.87	0.41	1.0	0.6	0.32	0.66	0.72	0.16	0.25	1.0	1.0	0.75	0.18	0.71	0.11	1.0	0.73	1.0	1.0	0.0
47	Mate	0.18	0.05	0.1	0.1	0.11	0.08	0.18	0.15	0.07	0.32	0.18	0.01	0.2	0.17	0.12	0.06	0.01	0.1	0.28	0.23	0.08	0.18	0.07	0.16	0.15	0.29	0.0	0.0	0.0
48	Black Tea	0.2	0.11	0.15	0.11	0.33	0.1	0.08	0.23	0.23	0.26	0.31	0.12	0.0	0.18	0.2	0.1	0.32	0.14	0.17	0.17	0.17	0.06	0.0	0.02	0.24	0.22	0.09	0.06	0.0
49	Green Tea	0.07	0.08	0.15	0.0	0.15	0.03	0.08	0.05	0.04	0.03	0.13	0.14	0.0	0.05	0.08	0.05	0.02	0.06	0.17	0.13	0.08	0.06	0.0	0.02	0.09	0.07	0.09	0.06	0.0
50	Roibos Tea	0.03	0.08	0.04	0.01	0.15	0.03	0.0	0.03	0.04	0.0	0.03	0.14	0.0	0.02	0.05	0.05	0.03	0.05	0.17	0.01	0.08	0.0	0.0	0.01	0.09	0.07	0.09	0.06	0.0
51	Barley	0.35	0.16	0.6	0.24	0.41	0.1	0.2	0.11	0.11	0.23	0.23	0.26	0.0	0.27	0.38	0.09	0.13	0.08	0.33	0.23	0.33	0.06	0.43	0.15	0.21	0.27	0.36	0.06	0.0
