		Uncategorised	Meaty	 Nutty	Medicinal	Chocolate	Wood	Spice	Herbaceous	 Berry	Dairy	Green	Roasted	Petrol	Floral	Caramel	Sulphur	 Tree fruit	Tropical	Marine	Earthy	Fruit like	Melon	Sour	 Citrus	Phenol	Pungent	Toasted	Smoke	Savory
209	Pumpkin	0.27	0.08	0.23	0.13	0.15	0.04	0.16	0.1	0.12	0.1	0.25	0.04	0.0	0.26	0.26	0.12	0.13	0.06	0.33	0.19	0.08	0.12	0.43	0.16	0.12	0.27	0.0	0.0	0.0
210	Quince	0.35	0.03	0.31	0.14	0.19	0.11	0.2	0.23	0.3	0.1	0.42	0.05	0.2	0.31	0.39	0.07	0.35	0.31	0.28	0.24	0.0	0.24	0.36	0.21	0.21	0.33	0.0	0.06	0.0
211	Chinese Quince	0.12	0.05	0.08	0.01	0.07	0.02	0.08	0.07	0.18	0.13	0.18	0.01	0.2	0.11	0.12	0.07	0.18	0.15	0.0	0.07	0.0	0.0	0.21	0.06	0.06	0.16	0.0	0.0	0.0
212	Raisin	0.09	0.0	0.06	0.01	0.0	0.0	0.02	0.03	0.03	0.1	0.06	0.0	0.0	0.05	0.06	0.07	0.01	0.05	0.06	0.09	0.0	0.0	0.0	0.0	0.06	0.02	0.0	0.0	0.0
213	Roseapple	0.26	0.03	0.23	0.17	0.15	0.04	0.16	0.11	0.14	0.0	0.25	0.05	0.2	0.31	0.26	0.07	0.14	0.06	0.17	0.17	0.0	0.06	0.21	0.18	0.15	0.24	0.0	0.0	0.0
214	Sapodilla	0.26	0.05	0.23	0.16	0.15	0.07	0.24	0.13	0.12	0.06	0.21	0.04	0.4	0.27	0.27	0.1	0.13	0.07	0.17	0.14	0.0	0.12	0.29	0.16	0.18	0.27	0.0	0.0	0.0
215	Soursop	0.28	0.03	0.23	0.13	0.19	0.07	0.16	0.15	0.23	0.06	0.25	0.04	0.2	0.28	0.35	0.07	0.19	0.18	0.28	0.21	0.0	0.06	0.29	0.16	0.12	0.29	0.0	0.0	0.0
216	Spineless Monkey Orange	0.04	0.03	0.23	0.13	0.19	0.07	0.16	0.02	0.17	0.06	0.08	0.04	0.2	0.0	0.1	0.07	0.15	0.18	0.28	0.01	0.0	0.12	0.29	0.0	0.12	0.02	0.0	0.0	0.0
217	Starfruit	0.49	0.08	0.35	0.31	0.19	0.18	0.31	0.3	0.47	0.16	0.52	0.05	0.2	0.47	0.51	0.12	0.43	0.43	0.39	0.31	0.17	0.35	0.43	0.33	0.21	0.38	0.0	0.06	0.0
218	Tamarind	0.41	0.08	0.38	0.41	0.26	0.36	0.45	0.18	0.18	0.16	0.28	0.08	0.0	0.42	0.44	0.07	0.16	0.14	0.33	0.24	0.0	0.06	0.43	0.35	0.32	0.4	0.09	0.28	0.0
219	Woodapple	0.01	0.08	0.38	0.41	0.26	0.0	0.45	0.0	0.04	0.16	0.0	0.08	0.0	0.42	0.03	0.07	0.01	0.06	0.33	0.24	0.0	0.06	0.43	0.0	0.32	0.4	0.09	0.0	0.0
220	Berry	0.13	0.0	0.06	0.04	0.11	0.04	0.08	0.11	0.08	0.03	0.16	0.03	0.0	0.18	0.1	0.04	0.0	0.07	0.06	0.13	0.08	0.06	0.14	0.18	0.06	0.09	0.0	0.0	0.0
221	Bilberry	0.45	0.08	0.27	0.3	0.15	0.23	0.33	0.31	0.25	0.52	0.42	0.04	0.2	0.48	0.48	0.07	0.31	0.19	0.28	0.26	0.0	0.06	0.43	0.4	0.29	0.36	0.0	0.0	0.0
222	Blackberry	0.41	0.03	0.31	0.23	0.19	0.22	0.37	0.31	0.31	0.1	0.32	0.04	0.2	0.42	0.47	0.07	0.32	0.27	0.28	0.33	0.0	0.18	0.29	0.26	0.15	0.38	0.0	0.0	0.0
223	Blueberry	0.39	0.08	0.27	0.33	0.15	0.21	0.37	0.23	0.24	0.26	0.34	0.05	0.2	0.44	0.4	0.07	0.25	0.25	0.22	0.24	0.0	0.06	0.29	0.33	0.29	0.31	0.0	0.11	0.0
224	Cherry	0.28	0.03	0.23	0.14	0.15	0.04	0.18	0.1	0.13	0.03	0.23	0.04	0.0	0.27	0.29	0.07	0.15	0.07	0.17	0.11	0.0	0.12	0.29	0.15	0.12	0.29	0.0	0.0	0.0
225	Bitter Cherry	0.27	0.03	0.23	0.13	0.15	0.07	0.16	0.13	0.12	0.1	0.25	0.04	0.0	0.26	0.29	0.07	0.17	0.11	0.17	0.16	0.0	0.06	0.21	0.15	0.21	0.24	0.0	0.0	0.0
226	Sour Cherry	0.36	0.11	0.31	0.23	0.19	0.11	0.35	0.21	0.22	0.1	0.28	0.04	0.0	0.4	0.35	0.1	0.22	0.18	0.22	0.19	0.0	0.18	0.29	0.25	0.35	0.36	0.0	0.06	0.0
227	Wild Cherry	0.04	0.11	0.04	0.0	0.0	0.11	0.0	0.02	0.08	0.1	0.03	0.04	0.0	0.01	0.03	0.1	0.05	0.04	0.22	0.01	0.0	0.0	0.0	0.25	0.35	0.09	0.0	0.06	0.0
228	Cloudberry	0.29	0.05	0.25	0.16	0.15	0.05	0.18	0.11	0.13	0.1	0.24	0.04	0.2	0.3	0.32	0.07	0.15	0.08	0.22	0.16	0.0	0.06	0.29	0.16	0.15	0.24	0.0	0.06	0.0
229	Cranberry	0.48	0.11	0.38	0.37	0.19	0.24	0.37	0.31	0.33	0.35	0.39	0.04	0.4	0.45	0.49	0.07	0.25	0.25	0.22	0.3	0.0	0.18	0.43	0.3	0.32	0.49	0.0	0.06	0.0
230	Gooseberry	0.36	0.05	0.27	0.23	0.15	0.1	0.16	0.15	0.22	0.13	0.27	0.04	0.0	0.3	0.36	0.07	0.22	0.26	0.22	0.23	0.0	0.18	0.43	0.17	0.12	0.31	0.0	0.0	0.0
231	Lingonberry	0.31	0.03	0.29	0.16	0.15	0.13	0.2	0.16	0.13	0.13	0.27	0.04	0.0	0.3	0.27	0.07	0.13	0.08	0.22	0.23	0.0	0.12	0.36	0.17	0.18	0.33	0.0	0.0	0.0
232	Loganberry	0.28	0.05	0.23	0.14	0.22	0.1	0.2	0.13	0.17	0.03	0.25	0.04	0.0	0.31	0.29	0.07	0.16	0.1	0.17	0.14	0.08	0.06	0.36	0.2	0.15	0.33	0.0	0.0	0.0
233	Raspberry	0.49	0.13	0.35	0.33	0.19	0.34	0.31	0.36	0.37	0.55	0.39	0.04	0.2	0.5	0.51	0.09	0.29	0.27	0.28	0.29	0.17	0.35	0.57	0.27	0.29	0.64	0.0	0.06	0.0
234	Strawberry	0.64	0.18	0.48	0.29	0.37	0.19	0.33	0.34	0.86	0.52	0.7	0.04	0.4	0.51	0.76	0.14	0.75	0.82	0.33	0.53	0.25	0.65	0.71	0.42	0.26	0.62	0.0	0.06	0.0
235	Strawberry Jam	0.07	0.18	0.04	0.01	0.0	0.03	0.06	0.15	0.08	0.06	0.08	0.04	0.4	0.03	0.15	0.14	0.11	0.07	0.06	0.07	0.25	0.06	0.71	0.06	0.0	0.02	0.0	0.0	0.0
236	Bergamot	0.03	0.18	0.04	0.01	0.0	0.02	0.0	0.03	0.03	0.06	0.04	0.04	0.4	0.09	0.03	0.14	0.0	0.0	0.06	0.07	0.25	0.0	0.07	0.08	0.0	0.04	0.0	0.0	0.0
237	Citrus Fruits	0.13	0.18	0.04	0.06	0.04	0.15	0.06	0.11	0.11	0.0	0.18	0.01	0.2	0.21	0.11	0.14	0.09	0.11	0.06	0.06	0.25	0.06	0.07	0.27	0.0	0.0	0.0	0.0	0.0
238	Grapefruit	0.42	0.08	0.25	0.2	0.22	0.26	0.35	0.25	0.23	0.23	0.33	0.05	0.2	0.41	0.38	0.15	0.2	0.21	0.22	0.21	0.17	0.24	0.43	0.45	0.24	0.42	0.0	0.11	0.0
239	Kumquat	0.33	0.05	0.23	0.13	0.15	0.09	0.18	0.2	0.24	0.06	0.35	0.04	0.0	0.38	0.31	0.07	0.26	0.17	0.28	0.17	0.0	0.12	0.36	0.31	0.15	0.29	0.0	0.11	0.0
240	Lemon	0.51	0.08	0.25	0.41	0.15	0.55	0.41	0.54	0.22	0.1	0.49	0.05	0.6	0.58	0.42	0.07	0.16	0.18	0.22	0.27	0.0	0.24	0.5	0.98	0.26	0.31	0.0	0.11	0.0
241	Lime	0.42	0.03	0.25	0.34	0.15	0.62	0.41	0.38	0.13	0.06	0.36	0.07	0.6	0.46	0.37	0.07	0.15	0.11	0.22	0.26	0.0	0.12	0.43	0.67	0.18	0.36	0.0	0.0	0.0
242	Mandarin Orange	0.46	0.03	0.23	0.43	0.15	0.63	0.37	0.52	0.17	0.06	0.45	0.07	0.4	0.56	0.4	0.07	0.2	0.13	0.22	0.24	0.08	0.24	0.36	0.82	0.18	0.36	0.0	0.06	0.0
243	Satsuma Orange	0.01	0.03	0.23	0.43	0.15	0.63	0.37	0.0	0.0	0.06	0.02	0.07	0.4	0.01	0.0	0.07	0.03	0.13	0.22	0.01	0.08	0.24	0.36	0.0	0.18	0.36	0.0	0.06	0.0
244	Tangerine	0.05	0.0	0.0	0.04	0.15	0.05	0.0	0.03	0.06	0.0	0.02	0.0	0.0	0.02	0.05	0.07	0.02	0.06	0.22	0.03	0.0	0.18	0.36	0.17	0.0	0.02	0.0	0.06	0.0
245	Vanilla	0.47	0.13	0.42	0.37	0.33	0.18	0.41	0.28	0.43	0.35	0.39	0.07	0.6	0.44	0.53	0.12	0.33	0.36	0.44	0.26	0.17	0.24	0.43	0.22	0.44	0.4	0.0	0.06	0.0
246	Mushroom	0.61	0.37	0.73	0.39	0.48	0.23	0.43	0.39	0.39	0.42	0.52	0.27	0.4	0.53	0.53	0.34	0.27	0.38	0.67	0.64	0.17	0.12	0.64	0.39	0.38	0.58	0.09	0.11	0.0
247	Truffle	0.07	0.0	0.04	0.01	0.07	0.02	0.02	0.07	0.01	0.03	0.06	0.0	0.4	0.05	0.01	0.07	0.0	0.0	0.0	0.11	0.08	0.0	0.0	0.02	0.06	0.09	0.09	0.11	0.0
248	Angelica	0.31	0.05	0.23	0.16	0.15	0.13	0.2	0.16	0.15	0.03	0.25	0.04	0.0	0.29	0.28	0.07	0.14	0.08	0.17	0.16	0.0	0.06	0.29	0.21	0.12	0.33	0.09	0.11	0.0
249	Artemisia	0.31	0.05	0.23	0.27	0.15	0.22	0.29	0.2	0.15	0.1	0.25	0.04	0.4	0.31	0.3	0.07	0.14	0.08	0.17	0.16	0.0	0.06	0.36	0.27	0.18	0.31	0.09	0.11	0.0
250	Basil	0.48	0.08	0.27	0.44	0.22	0.86	0.78	0.64	0.18	0.13	0.41	0.08	0.4	0.6	0.53	0.07	0.28	0.11	0.33	0.33	0.0	0.06	0.29	0.63	0.29	0.44	0.0	0.06	0.0
251	Buckwheat	0.45	0.11	0.29	0.26	0.26	0.2	0.22	0.26	0.19	0.35	0.39	0.05	0.6	0.41	0.36	0.12	0.14	0.12	0.5	0.36	0.17	0.18	0.57	0.31	0.26	0.47	0.0	0.06	0.0
252	Calamus	0.12	0.0	0.04	0.23	0.0	0.11	0.18	0.13	0.03	0.1	0.1	0.05	0.6	0.05	0.1	0.12	0.04	0.04	0.06	0.11	0.17	0.18	0.0	0.16	0.0	0.07	0.0	0.06	0.0
253	Chervil	0.27	0.03	0.23	0.14	0.19	0.04	0.29	0.11	0.15	0.03	0.23	0.04	0.0	0.28	0.28	0.07	0.16	0.1	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.29	0.0	0.06	0.0
254	Coriander	0.53	0.03	0.44	0.39	0.37	0.57	0.57	0.41	0.18	0.23	0.4	0.14	0.4	0.56	0.5	0.07	0.16	0.13	0.22	0.41	0.08	0.06	0.36	0.76	0.24	0.38	0.09	0.0	0.0
255	Cornmint	0.37	0.05	0.29	0.67	0.22	0.32	0.31	0.48	0.16	0.1	0.42	0.05	0.4	0.4	0.35	0.07	0.16	0.18	0.17	0.23	0.0	0.24	0.5	0.37	0.24	0.36	0.0	0.0	0.0
256	Dill	0.47	0.08	0.33	0.57	0.22	0.52	0.63	0.66	0.17	0.16	0.41	0.05	0.6	0.44	0.43	0.09	0.18	0.14	0.28	0.3	0.0	0.06	0.36	0.55	0.21	0.42	0.0	0.06	0.0
257	Fennel	0.37	0.03	0.25	0.36	0.19	0.42	0.51	0.36	0.12	0.1	0.27	0.04	0.4	0.35	0.38	0.07	0.14	0.08	0.17	0.16	0.0	0.06	0.36	0.46	0.15	0.29	0.0	0.06	0.0
258	Fenugreek	0.31	0.03	0.42	0.19	0.33	0.11	0.18	0.11	0.12	0.06	0.23	0.15	0.0	0.28	0.29	0.07	0.14	0.08	0.22	0.2	0.17	0.06	0.29	0.16	0.21	0.27	0.0	0.0	0.0
259	Garlic	0.31	0.13	0.31	0.21	0.3	0.11	0.18	0.13	0.13	0.1	0.31	0.14	0.2	0.3	0.29	0.74	0.13	0.06	0.22	0.23	0.33	0.06	0.36	0.22	0.24	0.27	0.0	0.06	0.0
260	Lemon Balm	0.4	0.05	0.29	0.3	0.19	0.47	0.55	0.59	0.16	0.16	0.34	0.04	0.2	0.46	0.42	0.07	0.22	0.13	0.28	0.23	0.0	0.12	0.21	0.48	0.29	0.42	0.0	0.06	0.0
261	Liqourice	0.12	0.03	0.12	0.03	0.11	0.02	0.1	0.05	0.04	0.13	0.05	0.08	0.2	0.08	0.13	0.07	0.03	0.1	0.06	0.09	0.0	0.12	0.14	0.03	0.12	0.04	0.0	0.06	0.0
262	Mint	0.38	0.08	0.29	0.56	0.19	0.52	0.41	0.48	0.23	0.03	0.38	0.05	0.6	0.45	0.43	0.12	0.16	0.15	0.22	0.26	0.25	0.24	0.21	0.46	0.18	0.42	0.0	0.06	0.0
263	Rhubarb	0.28	0.03	0.27	0.13	0.15	0.04	0.24	0.08	0.12	0.13	0.22	0.04	0.0	0.27	0.27	0.07	0.13	0.06	0.28	0.11	0.0	0.06	0.36	0.15	0.26	0.27	0.0	0.0	0.0
264	Rosemary	0.47	0.08	0.27	0.6	0.19	0.89	0.63	0.82	0.17	0.16	0.4	0.05	0.6	0.4	0.52	0.07	0.18	0.14	0.28	0.36	0.0	0.12	0.36	0.6	0.29	0.44	0.0	0.0	0.0
265	Sage	0.36	0.05	0.23	0.33	0.15	0.67	0.37	0.51	0.15	0.06	0.32	0.04	0.4	0.34	0.37	0.07	0.16	0.13	0.22	0.19	0.08	0.12	0.21	0.44	0.18	0.27	0.0	0.0	0.0
266	Spearmint	0.53	0.13	0.33	1.0	0.15	0.76	0.55	0.95	0.37	0.35	0.55	0.08	0.8	0.58	0.57	0.14	0.35	0.25	0.33	0.41	0.17	0.18	0.36	0.67	0.26	0.62	0.0	0.0	0.0
267	Scotch Spearmint	0.07	0.13	0.02	0.23	0.07	0.05	0.08	0.1	0.08	0.03	0.12	0.0	0.0	0.14	0.07	0.04	0.08	0.0	0.33	0.09	0.08	0.18	0.36	0.04	0.06	0.09	0.0	0.0	0.0
268	Tarragon	0.36	0.05	0.27	0.39	0.22	0.29	0.59	0.36	0.16	0.06	0.3	0.04	0.4	0.39	0.39	0.07	0.18	0.14	0.17	0.17	0.0	0.06	0.21	0.37	0.26	0.4	0.0	0.0	0.0
269	Thyme	0.44	0.08	0.27	0.39	0.15	0.53	0.39	0.51	0.18	0.16	0.44	0.05	0.4	0.4	0.41	0.07	0.25	0.15	0.28	0.31	0.0	0.12	0.29	0.48	0.18	0.42	0.0	0.0	0.0
270	Beef	0.27	0.29	0.19	0.07	0.07	0.13	0.02	0.15	0.16	0.06	0.17	0.15	0.2	0.18	0.23	0.29	0.09	0.19	0.22	0.29	0.17	0.0	0.21	0.11	0.06	0.27	0.18	0.0	0.0
271	Beef Processed	0.51	0.92	0.75	0.16	0.63	0.15	0.08	0.34	0.33	0.65	0.48	0.64	0.8	0.32	0.45	0.85	0.17	0.29	0.72	0.63	1.0	0.35	0.21	0.27	0.24	0.58	0.73	0.06	0.0
272	Chicken	0.35	0.5	0.37	0.07	0.37	0.13	0.06	0.2	0.17	0.48	0.3	0.3	0.4	0.21	0.26	0.34	0.1	0.25	0.44	0.59	0.58	0.06	0.29	0.2	0.21	0.53	0.27	0.06	0.0
273	Frankfurter Sausage	0.01	0.5	0.37	0.07	0.37	0.13	0.06	0.2	0.17	0.48	0.3	0.3	0.4	0.21	0.26	0.34	0.1	0.25	0.44	0.59	0.58	0.06	0.29	0.2	0.21	0.53	0.27	0.06	0.0
274	Ham	0.01	0.5	0.37	0.07	0.37	0.13	0.06	0.0	0.17	0.48	0.02	0.3	0.4	0.01	0.26	0.34	0.0	0.25	0.0	0.01	0.58	0.0	0.29	0.0	0.21	0.53	0.27	0.06	0.0
275	Lamb	0.12	0.05	0.06	0.07	0.15	0.13	0.02	0.03	0.03	0.29	0.1	0.03	0.4	0.01	0.03	0.34	0.02	0.05	0.0	0.04	0.08	0.06	0.07	0.02	0.21	0.0	0.0	0.06	0.0
276	Meat	0.15	0.11	0.29	0.06	0.26	0.08	0.02	0.1	0.08	0.26	0.15	0.19	0.0	0.08	0.08	0.06	0.03	0.05	0.22	0.33	0.0	0.06	0.21	0.1	0.09	0.07	0.18	0.11	0.0
277	Mutton	0.14	0.05	0.04	0.06	0.11	0.0	0.02	0.03	0.03	0.48	0.1	0.03	0.0	0.05	0.06	0.05	0.04	0.06	0.11	0.1	0.25	0.12	0.36	0.04	0.09	0.13	0.0	0.11	0.0
278	Pork	0.39	0.74	0.52	0.17	0.56	0.11	0.22	0.23	0.2	0.65	0.23	0.51	0.2	0.19	0.34	0.47	0.11	0.24	0.61	0.59	0.75	0.12	0.21	0.17	0.26	0.47	0.73	0.39	1.0
279	Sukiyaki	0.04	0.03	0.02	0.17	0.11	0.0	0.02	0.0	0.01	0.65	0.02	0.04	0.2	0.03	0.01	0.01	0.11	0.01	0.61	0.01	0.75	0.12	0.0	0.0	0.0	0.02	0.0	0.39	1.0
280	Turkey	0.04	0.0	0.08	0.17	0.04	0.0	0.02	0.0	0.0	0.0	0.03	0.0	0.2	0.0	0.01	0.0	0.11	0.01	0.61	0.03	0.75	0.12	0.07	0.0	0.0	0.02	0.0	0.39	1.0
281	Almond	0.32	0.08	0.42	0.19	0.3	0.13	0.16	0.1	0.15	0.16	0.24	0.22	0.0	0.3	0.34	0.07	0.12	0.08	0.28	0.21	0.33	0.18	0.36	0.18	0.26	0.24	0.27	0.0	1.0
282	Brazil Nut	0.28	0.05	0.25	0.13	0.15	0.05	0.16	0.11	0.11	0.06	0.24	0.04	0.2	0.27	0.27	0.07	0.12	0.06	0.22	0.16	0.08	0.12	0.36	0.18	0.18	0.24	0.27	0.0	1.0
283	Cocoa	0.74	0.5	0.9	0.44	0.96	0.29	0.47	0.33	0.57	0.74	0.52	0.51	0.4	0.59	0.78	0.26	0.37	0.5	0.83	0.76	0.83	0.53	0.93	0.36	0.47	0.64	0.82	0.17	0.0
284	Beans	0.48	0.11	0.44	0.37	0.33	0.2	0.22	0.28	0.24	0.23	0.4	0.15	0.6	0.45	0.43	0.2	0.16	0.21	0.44	0.46	0.33	0.12	0.36	0.31	0.29	0.44	0.18	0.17	0.0
285	Lima Beans	0.47	0.11	0.44	0.37	0.33	0.2	0.22	0.28	0.24	0.23	0.4	0.15	0.6	0.45	0.43	0.2	0.16	0.21	0.44	0.46	0.33	0.12	0.36	0.31	0.29	0.44	0.18	0.17	0.0
286	Kidney Beans	0.27	0.13	0.25	0.23	0.33	0.14	0.06	0.18	0.13	0.19	0.22	0.12	0.4	0.24	0.2	0.12	0.04	0.14	0.28	0.43	0.33	0.0	0.14	0.2	0.15	0.22	0.18	0.17	0.0
287	Peanut	0.51	0.34	0.88	0.3	0.78	0.21	0.31	0.3	0.29	0.42	0.45	0.45	0.2	0.38	0.5	0.31	0.18	0.17	0.56	0.6	0.83	0.18	0.57	0.29	0.38	0.64	0.55	0.17	0.0
288	Peas	0.44	0.11	0.38	0.21	0.22	0.2	0.2	0.3	0.3	0.26	0.49	0.05	0.6	0.44	0.39	0.2	0.22	0.21	0.39	0.5	0.25	0.29	0.43	0.34	0.21	0.53	0.55	0.17	0.0
289	Soybean	0.58	0.29	0.88	0.4	0.59	0.27	0.35	0.46	0.31	0.58	0.5	0.27	0.6	0.43	0.6	0.16	0.29	0.27	0.61	0.66	0.42	0.24	0.64	0.4	0.35	0.73	0.36	0.17	0.0
290	Soybean Oil	0.01	0.29	0.0	0.4	0.59	0.27	0.35	0.46	0.03	0.58	0.02	0.0	0.6	0.43	0.0	0.16	0.0	0.27	0.61	0.0	0.0	0.0	0.64	0.01	0.35	0.02	0.36	0.17	0.0
291	Soybean Sauce	0.04	0.03	0.0	0.4	0.04	0.27	0.02	0.46	0.02	0.06	0.0	0.01	0.6	0.43	0.06	0.16	0.0	0.0	0.61	0.0	0.0	0.0	0.07	0.01	0.06	0.0	0.36	0.0	0.0
292	Filbert	0.3	0.18	0.69	0.11	0.67	0.16	0.02	0.2	0.19	0.26	0.27	0.37	0.6	0.1	0.29	0.09	0.03	0.11	0.28	0.49	0.58	0.18	0.07	0.17	0.15	0.18	0.55	0.0	0.0
293	Hazelnut	0.26	0.03	0.27	0.13	0.19	0.04	0.16	0.08	0.11	0.03	0.2	0.04	0.0	0.25	0.27	0.07	0.12	0.06	0.17	0.13	0.0	0.06	0.36	0.15	0.12	0.22	0.55	0.0	0.0
294	Macadamia Nut	0.29	0.08	0.35	0.14	0.26	0.09	0.16	0.11	0.12	0.13	0.25	0.08	0.2	0.27	0.29	0.15	0.12	0.07	0.22	0.19	0.17	0.06	0.29	0.2	0.15	0.27	0.55	0.0	0.0
295	Nuts	0.03	0.08	0.35	0.0	0.26	0.09	0.0	0.11	0.01	0.13	0.02	0.0	0.2	0.03	0.0	0.15	0.12	0.07	0.22	0.0	0.17	0.06	0.29	0.0	0.15	0.27	0.55	0.0	0.0
296	Pecans	0.39	0.11	0.58	0.23	0.37	0.19	0.22	0.26	0.17	0.32	0.33	0.16	0.2	0.31	0.4	0.1	0.15	0.12	0.33	0.4	0.0	0.06	0.57	0.26	0.21	0.42	0.09	0.0	0.0
297	Walnut	0.33	0.03	0.31	0.2	0.15	0.18	0.2	0.2	0.14	0.16	0.31	0.04	0.4	0.27	0.3	0.07	0.14	0.11	0.17	0.21	0.0	0.06	0.36	0.2	0.15	0.31	0.09	0.0	0.0
298	Muskmallow	0.33	0.03	0.31	0.2	0.15	0.18	0.2	0.2	0.14	0.16	0.31	0.04	0.4	0.27	0.3	0.07	0.14	0.11	0.17	0.21	0.0	0.06	0.36	0.2	0.15	0.31	0.09	0.0	0.0
299	Sesame	0.34	0.18	0.54	0.19	0.52	0.07	0.29	0.11	0.15	0.23	0.31	0.3	0.0	0.28	0.32	0.1	0.13	0.06	0.39	0.31	0.25	0.18	0.43	0.21	0.26	0.33	0.27	0.22	0.0
300	Allium	0.01	0.18	0.54	0.19	0.52	0.07	0.29	0.11	0.0	0.23	0.02	0.01	0.0	0.0	0.32	0.24	0.13	0.06	0.39	0.0	0.25	0.18	0.43	0.0	0.26	0.33	0.27	0.22	0.0
301	Alpinia	0.01	0.18	0.54	0.19	0.0	0.07	0.06	0.11	0.0	0.23	0.02	0.01	0.0	0.0	0.0	0.24	0.02	0.01	0.39	0.0	0.25	0.18	0.43	0.0	0.26	0.0	0.27	0.22	0.0
302	Ceriman	0.01	0.18	0.54	0.0	0.0	0.07	0.0	0.11	0.04	0.23	0.0	0.01	0.0	0.01	0.01	0.24	0.02	0.01	0.39	0.0	0.25	0.0	0.43	0.0	0.26	0.0	0.27	0.22	0.0
303	Chicory	0.28	0.03	0.33	0.14	0.15	0.04	0.2	0.08	0.11	0.1	0.2	0.04	0.0	0.27	0.29	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.43	0.15	0.12	0.27	0.0	0.22	0.0
304	Hops	0.05	0.0	0.33	0.14	0.15	0.02	0.2	0.02	0.06	0.06	0.03	0.04	0.0	0.02	0.01	0.0	0.08	0.01	0.17	0.04	0.0	0.12	0.07	0.0	0.12	0.0	0.0	0.22	0.0
305	Laurel	0.48	0.11	0.27	0.41	0.19	0.75	0.78	0.57	0.25	0.19	0.4	0.05	0.6	0.42	0.49	0.07	0.26	0.25	0.17	0.23	0.0	0.06	0.43	0.54	0.18	0.47	0.0	0.22	0.0
306	Myrtle	0.08	0.11	0.0	0.06	0.0	0.2	0.2	0.1	0.06	0.19	0.06	0.05	0.6	0.11	0.1	0.07	0.06	0.07	0.17	0.01	0.0	0.06	0.43	0.16	0.06	0.07	0.0	0.22	0.0
307	Olive	0.38	0.05	0.29	0.21	0.15	0.09	0.24	0.25	0.37	0.26	0.41	0.05	0.6	0.39	0.45	0.12	0.31	0.38	0.33	0.3	0.25	0.29	0.36	0.27	0.24	0.38	0.0	0.22	0.0
308	Pine	0.3	0.05	0.25	0.2	0.19	0.2	0.33	0.18	0.12	0.13	0.23	0.04	0.2	0.27	0.33	0.07	0.13	0.07	0.22	0.14	0.0	0.06	0.36	0.28	0.12	0.24	0.0	0.22	0.0
309	Sassafras	0.01	0.05	0.02	0.01	0.19	0.02	0.02	0.0	0.02	0.13	0.02	0.04	0.2	0.05	0.03	0.07	0.0	0.07	0.22	0.14	0.0	0.06	0.36	0.01	0.0	0.02	0.0	0.22	0.0
310	Tea	1.0	0.5	1.0	0.91	1.0	0.77	0.78	1.0	0.71	0.77	1.0	0.49	0.8	1.0	1.0	0.23	0.67	0.48	0.56	0.91	0.67	0.65	0.86	0.81	0.94	1.0	0.45	0.44	0.0
311	Fermented Tea	0.02	0.5	1.0	0.01	0.0	0.01	0.04	0.02	0.71	0.77	0.01	0.49	0.8	0.0	0.03	0.23	0.67	0.48	0.0	0.91	0.67	0.65	0.86	0.81	0.15	0.04	0.45	0.44	0.0
312	Tobacco	0.15	0.08	0.21	0.11	0.07	0.13	0.18	0.07	0.06	0.13	0.09	0.08	0.8	0.18	0.12	0.23	0.04	0.07	0.0	0.13	0.67	0.65	0.21	0.02	0.26	0.13	0.0	0.28	0.0
313	Watercress	0.26	0.05	0.23	0.14	0.15	0.07	0.16	0.11	0.11	0.06	0.22	0.04	0.2	0.27	0.26	0.11	0.12	0.07	0.17	0.16	0.0	0.06	0.43	0.16	0.21	0.24	0.0	0.28	0.0
314	Creosote	0.02	0.03	0.23	0.01	0.15	0.07	0.04	0.0	0.0	0.06	0.0	0.04	0.2	0.01	0.02	0.11	0.12	0.07	0.17	0.16	0.0	0.06	0.43	0.16	0.0	0.0	0.0	0.0	0.0
315	Honey	0.17	0.03	0.08	0.06	0.19	0.03	0.02	0.03	0.26	0.19	0.15	0.04	0.0	0.18	0.18	0.11	0.25	0.26	0.0	0.1	0.0	0.06	0.29	0.06	0.12	0.13	0.0	0.0	0.0
316	Macaroni	0.0	0.03	0.08	0.06	0.19	0.03	0.02	0.03	0.26	0.19	0.15	0.04	0.0	0.18	0.18	0.11	0.25	0.26	0.0	0.1	0.0	0.06	0.29	0.06	0.12	0.13	0.0	0.0	0.0
317	Mustard Oil	0.0	0.03	0.08	0.06	0.19	0.03	0.02	0.03	0.26	0.19	0.15	0.04	0.0	0.18	0.18	0.01	0.25	0.26	0.0	0.1	0.0	0.06	0.29	0.06	0.12	0.0	0.0	0.0	0.0
318	Peanut Butter	0.02	0.03	0.08	0.01	0.04	0.0	0.0	0.02	0.0	0.19	0.02	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.06	0.0	0.0	0.03	0.0	0.0	0.0	0.0
319	Peanut Oil	0.08	0.0	0.06	0.01	0.0	0.0	0.0	0.02	0.03	0.06	0.08	0.0	0.0	0.03	0.03	0.01	0.02	0.04	0.0	0.07	0.0	0.0	0.0	0.04	0.03	0.02	0.0	0.0	0.0
